,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Fuck Trump!!!
1,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Trump is a pos! Vote him out!
2,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Pos!
3,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Fuck Trump!!!
4,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
5,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
6,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Trump is a pos! Vote him out!
7,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
8,2020-11-02 15:54:22,CO,Colombia,1.1067346685929636e+18,16-Mar-2019 (01:51:21.000000),MPenny2020,,False,,1563,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
10,2020-11-02 16:28:29,CO,Colombia,2869708687.0,21-Oct-2014 (23:10:57.000000),pcgrandma63,,False,,841,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
11,2020-11-02 15:46:07,CO,Colombia,7.05425187634815e+17,03-Mar-2016 (16:10:45.000000),mjlucy6650,,False,,27,,True,"  With delayed death counts, popular COVID tracking sites mislead public, fuel alarm | Just The News "
13,2020-11-02 15:30:12,CO,Colombia,51152977.0,26-Jun-2009 (17:51:18.000000),bratz5321,,False,,6025,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
14,2020-11-02 15:05:04,CO,Colombia,23191482.0,07-Mar-2009 (13:23:34.000000),michelesnyderFL,,False,,788,,True,  A CNN investigation of 17 Trump campaign rallies finds that 14 of the host counties -- 82% of them -- had an increased rate of new…
18,2020-11-02 15:48:23,CO,Colombia,1902449022.0,25-Sep-2013 (01:54:29.000000),MarkStarCrashes,,False,,626,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
19,2020-11-02 15:12:27,CO,Colombia,1.158392074359726e+18,05-Aug-2019 (14:59:27.000000),ImmaCob2,,False,,699,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
20,2020-11-02 16:19:29,CO,Colombia,8.574166894908293e+17,27-Apr-2017 (02:10:43.000000),NewsatNoon1,,False,,2684,,True,   Wow! 48% of the jobs lost due to the Trump's mishandling of the coronavirus are still gone? Thanks for highlighting t…
23,2020-11-02 16:19:34,CO,Colombia,76077070.0,21-Sep-2009 (16:59:00.000000),coldandabsurd,,False,,604,,True,  I was also asleep at 10:30 PM last night since I have to get my kids ready for school early this morning and work today from h…
30,2020-11-02 16:17:28,CO,Colombia,201237453.0,11-Oct-2010 (12:10:13.000000),Leftie_One,,False,,33,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
31,2020-11-02 15:57:16,CO,Colombia,833893160.0,19-Sep-2012 (18:30:35.000000),patrisia_pol,,False,,1556,,False,I will NOT COMPLY! and Neither will our 
32,2020-11-02 15:28:26,CO,Colombia,99580679.0,26-Dec-2009 (21:46:50.000000),AmyTidd,,False,,5814,,True,"  I will be the first to say that I was wrong in listening to Hillary Clinton in 2016, she was right about everything, an…"
33,2020-11-02 16:18:22,CO,Colombia,7.126492899824845e+17,23-Mar-2016 (14:36:45.000000),7tine76,,False,,6894,,True,  Yeah let’s not forget this people..
34,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Pos!
35,2020-11-02 16:18:34,CO,Colombia,49289506.0,21-Jun-2009 (10:52:28.000000),BlueStates2020,,False,,2077,,True,  STL hospitals are at 90% capacity. KC hospitals are turning ambulances away. Rural hospitals can’t transfer patients b…
36,2020-11-02 16:18:42,CO,Colombia,8.864198605778207e+17,16-Jul-2017 (02:58:58.000000),CheyfulChey,,False,,51,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
37,2020-11-02 15:25:45,CO,Colombia,8.451523414980895e+17,24-Mar-2017 (05:56:35.000000),ConcernedGirl17,,False,,38,,True,  SICKENING—Florida refused to do a #COVID19 tests on Patrick Hidalgo. His family was told his death due to heart failure. Co…
38,2020-11-02 15:40:31,CO,Colombia,1514585784.0,13-Jun-2013 (22:19:16.000000),jaulloque,,False,,1631,,True,  Our analysis on age-specific mortality and immunity patterns of SARS-CoV-2 has now been published  We look at COVID…
39,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
40,2020-11-02 14:59:53,CO,Colombia,2452348848.0,19-Apr-2014 (03:58:50.000000),DeplorableJuJuV,,False,,25405,,True,  So since he’s not wearing his double mask does this mean covid is over ? 🤔 Or are masks just for the rest of us ? #Covid19…
41,2020-11-02 15:04:56,CO,Colombia,1.1067346685929636e+18,16-Mar-2019 (01:51:21.000000),MPenny2020,,False,,1563,,True,"  Washington, DC phony!   doesn’t wear a mask on a plane - but wears one OUTSIDE!? "
43,2020-11-02 15:52:09,CO,Colombia,14218312.0,25-Mar-2008 (19:33:12.000000),ChuckXL,,False,,7219,,False,"As bad as everything he’s done all year has been, if Trump had come out of the hospital saying “I get it, this is terrible, we’re mobilizing the full resources of the government to stop this immediately, do your part, wear a mask” he’d win comfortably tomorrow."
44,2020-11-02 16:23:19,CO,Colombia,14218312.0,25-Mar-2008 (19:33:12.000000),ChuckXL,,False,,7219,,False,Then what happened...
45,2020-11-02 15:52:09,CO,Colombia,14218312.0,25-Mar-2008 (19:33:12.000000),ChuckXL,,False,,7219,,False,"As bad as everything he’s done all year has been, if Trump had come out of the hospital saying “I get it, this is terrible, we’re mobilizing the full resources of the government to stop this immediately, do your part, wear a mask” he’d win comfortably tomorrow."
47,2020-11-02 15:40:31,CO,Colombia,1514585784.0,13-Jun-2013 (22:19:16.000000),jaulloque,,False,,1631,,True,  Our analysis on age-specific mortality and immunity patterns of SARS-CoV-2 has now been published  We look at COVID…
48,2020-11-02 16:23:19,CO,Colombia,14218312.0,25-Mar-2008 (19:33:12.000000),ChuckXL,,False,,7219,,False,Then what happened...
49,2020-11-02 15:54:22,CO,Colombia,1.1067346685929636e+18,16-Mar-2019 (01:51:21.000000),MPenny2020,,False,,1563,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
50,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Pos!
52,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Fuck Trump!!!
53,2020-11-02 15:52:37,CO,Colombia,157095055.0,18-Jun-2010 (21:12:40.000000),Jan4Truth,,False,,3122,,False,"Late to the game, Joe.  Trump already has done that. Just waiting for FDA approval."
54,2020-11-02 15:52:37,CO,Colombia,157095055.0,18-Jun-2010 (21:12:40.000000),Jan4Truth,,False,,3123,,False,"Late to the game, Joe.  Trump already has done that. Just waiting for FDA approval."
55,2020-11-02 16:08:03,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,False,"  Just phucking wear a mask and distance, if every single person in this now shithole country did this from day one, we would not be in such a chaotic mess!"
56,2020-11-02 15:47:29,CO,Colombia,52735435.0,01-Jul-2009 (14:12:27.000000),Carozamorah,,False,,777,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
57,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Trump is a pos! Vote him out!
58,2020-11-02 15:00:42,CO,Colombia,21320792.0,19-Feb-2009 (17:49:47.000000),postcardmania,,False,,4829,,False,🚨In case you missed it🚨  Our Small Biz COVID Survival Guide is updated near-daily with: • inspiring examples of REAL biz owner pivots • a list of industries + companies still hiring • and FREE resources you can take advantage of now.  Check it out:  
59,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Pos!
60,2020-11-02 16:27:06,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,  It's amazing how much the argument of the GOP and conservatives is that Covid Doesn't Count. 
61,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
62,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Pos!
63,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Fuck Trump!!!
64,2020-11-02 14:58:39,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,"  With coronavirus cases rising in the U.S., Europe and many other places across the globe, wearing a mask is more impor…"
66,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Trump is a pos! Vote him out!
67,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
68,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
69,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
70,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
71,2020-11-02 14:58:39,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,"  With coronavirus cases rising in the U.S., Europe and many other places across the globe, wearing a mask is more impor…"
72,2020-11-02 15:52:52,CO,Colombia,7.08019901609472e+17,10-Mar-2016 (20:01:13.000000),IoTShipping,,False,,4059,,False,"#veteranownedbusinesses week 'Before the coronavirus pandemic, veteran unemployment was at a record all-time low.  Nearly 2.5 million veteran-owned small businesses employed close to 6 million people, generating more than a trillion dollars in sales annually'"
73,2020-11-02 15:52:57,CO,Colombia,2171546676.0,03-Nov-2013 (05:12:57.000000),TeresaMayNot,,False,,3569,,False,#WearAMask
74,2020-11-02 15:01:26,CO,Colombia,620157700.0,27-Jun-2012 (16:48:36.000000),Carr1e_0n,,False,,449,,True,"  Washington, DC phony!   doesn’t wear a mask on a plane - but wears one OUTSIDE!? "
76,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Fuck Trump!!!
77,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Trump is a pos! Vote him out!
78,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
79,2020-11-02 15:26:10,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
80,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
81,2020-11-02 15:52:49,CO,Colombia,9.802756928007411e+17,01-Apr-2018 (02:48:32.000000),MMcEwen_,,False,,219,,False,"SWFL faced a lot of adversity this year with coronavirus affecting the last few months of tourist season, and now at the onset of the new season, we get yet another impending ecological disaster at the hands of the  and Army Corps of Engineers"
82,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Pos!
83,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Fuck Trump!!!
84,2020-11-02 16:27:06,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,582,,True,  It's amazing how much the argument of the GOP and conservatives is that Covid Doesn't Count. 
85,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Trump is a pos! Vote him out!
86,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
87,2020-11-02 16:29:24,CO,Colombia,1651522832.0,06-Aug-2013 (23:34:40.000000),DrDenaGrayson,,none,,324355,,True,"  ⚠️Nearly a quarter of a million Americans are DEAD, and Trump wants to fire Dr. Tony Fauci—the best person in our govern…"
88,2020-11-02 15:28:46,CO,Colombia,950374968.0,15-Nov-2012 (20:00:59.000000),Hi_imBJ,,False,,1405,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
89,2020-11-02 15:04:56,CO,Colombia,1.1067346685929636e+18,16-Mar-2019 (01:51:21.000000),MPenny2020,,False,,1563,,True,"  Washington, DC phony!   doesn’t wear a mask on a plane - but wears one OUTSIDE!? "
90,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Pos!
91,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Trump is a pos! Vote him out!
92,2020-11-02 15:30:46,CO,Colombia,247124103.0,04-Feb-2011 (03:59:15.000000),JillBee833,,False,,150,,True,"  This kid  is absolutely bad ass, and I LOVE what he's doing for the IE!"
94,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
97,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
99,2020-11-02 15:10:54,CO,Colombia,247124103.0,04-Feb-2011 (03:59:15.000000),JillBee833,,False,,150,,True,  More about the iPad fundraiser!   
101,2020-11-02 15:53:40,CO,Colombia,1.2599503431624827e+18,11-May-2020 (20:56:22.000000),TBarCo2,,False,,288,,True,  what’s phony here is  misrepresenting a photo of Biden from 2019
102,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Fuck Trump!!!
103,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Trump is a pos! Vote him out!
104,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
106,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
107,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Pos!
108,2020-11-02 15:17:45,CO,Colombia,1.3106238202193838e+18,28-Sep-2020 (16:54:55.000000),LusinGalstyan,,False,,198,,False,Ahmet Davutoghlu says Turkey's Erdogan more dangerous than Covid-19 #StopErdogan #SanctionTurkey  via 
109,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Fuck Trump!!!
110,2020-11-02 15:30:46,CO,Colombia,247124103.0,04-Feb-2011 (03:59:15.000000),JillBee833,,False,,150,,True,"  This kid  is absolutely bad ass, and I LOVE what he's doing for the IE!"
111,2020-11-02 15:10:54,CO,Colombia,247124103.0,04-Feb-2011 (03:59:15.000000),JillBee833,,False,,150,,True,  More about the iPad fundraiser!   
112,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
113,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
114,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,454,,False,Pos!
115,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Fuck Trump!!!
116,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Trump is a pos! Vote him out!
117,2020-11-02 16:19:46,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,"  World Reacts, US Elections. Recent Pew Poll (Sept) showed only 16% in 13 countries have confidence Trump will do the “rig…"
118,2020-11-02 16:15:12,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,True,  Say it with me: “Nationwide. Utility. Shutoff. Moratorium. Now.”
119,2020-11-02 16:33:10,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Trump is a pos! Vote him out!
120,2020-11-02 15:51:28,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Pos!
121,2020-11-02 15:26:10,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
122,2020-11-02 16:08:03,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,False,"  Just phucking wear a mask and distance, if every single person in this now shithole country did this from day one, we would not be in such a chaotic mess!"
123,2020-11-02 16:27:06,CO,Colombia,1.2229019848118968e+18,30-Jan-2020 (15:19:16.000000),DavedashAshe,,False,,583,,True,  It's amazing how much the argument of the GOP and conservatives is that Covid Doesn't Count. 
124,2020-11-02 14:59:42,CO,Colombia,57669405.0,17-Jul-2009 (15:20:29.000000),TheCatsMeow28,,False,,23,,False,"According to a new study from Stanford University, President Donald Trump's campaign rallies have led to over 30,000 confirmed COVID-19 cases and likely caused the death of 700 Americans."
128,2020-11-02 16:40:39,CO,Colombia,1935167622.0,04-Oct-2013 (19:18:43.000000),dawn6924,,False,,453,,False,Fuck Trump!!!
129,2020-11-02 15:01:42,CO,Colombia,27732270.0,30-Mar-2009 (21:22:19.000000),borogirl11,,False,,247,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
130,2020-11-02 16:13:05,CO,Colombia,20109343.0,05-Feb-2009 (00:22:29.000000),Soxwriter,,False,,3253,,False,How wonderful!
131,2020-11-02 15:18:57,CO,Colombia,1382557208.0,26-Apr-2013 (18:16:49.000000),mooney365,,False,,14573,,False,😪💔😷
132,2020-11-02 15:51:29,CO,Colombia,346904803.0,02-Aug-2011 (00:50:33.000000),fastfaderoute,,False,,568,,True,      - Researchers looked at 18 TRUMP rallies held between June…
134,2020-11-02 15:11:33,CO,Colombia,1.153797006126735e+18,23-Jul-2019 (22:40:17.000000),wolf_kmj,,False,,299,,True,  SICKENING—Florida refused to do a #COVID19 tests on Patrick Hidalgo. His family was told his death due to heart failure. Co…
135,2020-11-02 15:51:32,CO,Colombia,3518849297.0,02-Sep-2015 (02:45:37.000000),Trash_witch_,,False,,147,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
136,2020-11-02 16:38:40,CO,Colombia,202646145.0,14-Oct-2010 (14:23:39.000000),FloridaPorts,,False,,5510,,False,. is at the forefront of #COVID19 response.
137,2020-11-02 15:21:21,CO,Colombia,405931838.0,06-Nov-2011 (00:56:26.000000),becky_darnell,,False,,43,,True,  SICKENING—Florida refused to do a #COVID19 tests on Patrick Hidalgo. His family was told his death due to heart failure. Co…
138,2020-11-02 16:31:43,CO,Colombia,405931838.0,06-Nov-2011 (00:56:26.000000),becky_darnell,,False,,43,,True,"  This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…"
139,2020-11-02 16:43:01,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,"  Here's where America's #COVID19 crisis stands, on the eve of Election Day. "
140,2020-11-02 15:55:02,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
141,2020-11-02 15:57:29,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  The full name of RT is “Russia Today.”  Trump’s favored coronavirus advisor claims he was unaware that “Russia Today”…
142,2020-11-02 16:21:41,CO,Colombia,1.2070393146070057e+18,17-Dec-2019 (20:47:20.000000),TroupDebbie,,False,,65,,True,  It's November. The beginning of the annual flu season. We're not buying your hoax. You're not locking us down.
143,2020-11-02 15:21:21,CO,Colombia,405931838.0,06-Nov-2011 (00:56:26.000000),becky_darnell,,False,,43,,True,  SICKENING—Florida refused to do a #COVID19 tests on Patrick Hidalgo. His family was told his death due to heart failure. Co…
144,2020-11-02 16:23:54,CO,Colombia,568664344.0,02-May-2012 (00:34:36.000000),PattyBussell,,False,,37,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
145,2020-11-02 16:31:43,CO,Colombia,405931838.0,06-Nov-2011 (00:56:26.000000),becky_darnell,,False,,43,,True,"  This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…"
147,2020-11-02 16:23:54,CO,Colombia,568664344.0,02-May-2012 (00:34:36.000000),PattyBussell,,False,,37,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
148,2020-11-02 16:23:56,CO,Colombia,1004409242.0,11-Dec-2012 (16:49:37.000000),RonPen1,,False,,6171,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
149,2020-11-02 16:01:03,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
150,2020-11-02 15:11:13,CO,Colombia,312964185.0,07-Jun-2011 (23:18:00.000000),DianaMiller5,,False,,4330,,True,"  If you tried to design a method of viral transmission, you could not make a more efficient one than this.  This is mas…"
158,2020-11-02 16:24:10,CO,Colombia,1.1574276158101668e+18,02-Aug-2019 (23:07:02.000000),virtuelnilik,,False,,112,,False,samo😂
159,2020-11-02 15:51:38,CO,Colombia,237266782.0,12-Jan-2011 (13:17:00.000000),egeogh,,False,,764,,True,"  Dr. Amy Acton famously led Ohio thru the early pandemic, then resigned after demonstrators w/guns showed up at her home…"
160,2020-11-02 16:43:01,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,"  Here's where America's #COVID19 crisis stands, on the eve of Election Day. "
162,2020-11-02 16:33:24,CO,Colombia,568664344.0,02-May-2012 (00:34:36.000000),PattyBussell,,False,,37,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
163,2020-11-02 16:14:59,CO,Colombia,561630839.0,24-Apr-2012 (01:43:26.000000),cherymd727,,False,,23,,False, Incorrect and fake news. A diagnosis of CoVid19 positive patients has a different billing code due to the level of care that is needed in acute care facilities. As the level of care increases so does the reimbursement. That doesn’t mean for the physicians.
164,2020-11-02 15:51:57,CO,Colombia,1.3224119527239063e+18,31-Oct-2020 (05:36:27.000000),GayaHarut,,False,,19,,False," Ex-ally of Erdoghan, Davitoghlu suggests that presidential format of government is not justifying itself in Turkey. Erdogan is more dangerous than Covid-19 pandemic and he is leading his nation to a decline. #RecognizeArtsakh #ArmeniaAgainstTerrorism #StopAzeriWarCrimes"
165,2020-11-02 16:38:15,CO,Colombia,1.1380768641263412e+18,10-Jun-2019 (13:34:03.000000),FF_LeapOfFaith,,False,,2148,,True,"  The NFL and NFLPA agreed to game-day PCR testing for COVID-19 starting in Week 6. Everyone tests Sunday morning, but don'…"
166,2020-11-02 16:43:01,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,"  Here's where America's #COVID19 crisis stands, on the eve of Election Day. "
167,2020-11-02 16:01:03,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
168,2020-11-02 16:22:23,CO,Colombia,3302383291.0,31-Jul-2015 (10:49:20.000000),Morffehy,,False,,85,,True,  Turkey's President Recep Tayyip Erdogan is a greater threat to the world than the coronavirus pandemic - Former Prime Minis…
169,2020-11-02 15:57:29,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  The full name of RT is “Russia Today.”  Trump’s favored coronavirus advisor claims he was unaware that “Russia Today”…
171,2020-11-02 15:57:29,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  The full name of RT is “Russia Today.”  Trump’s favored coronavirus advisor claims he was unaware that “Russia Today”…
172,2020-11-02 15:55:02,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
173,2020-11-02 16:43:01,CO,Colombia,20602517.0,11-Feb-2009 (16:56:40.000000),reddywriting,,False,,3179,,True,"  Here's where America's #COVID19 crisis stands, on the eve of Election Day. "
