,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
7,2020-11-02 16:09:52,FR,France,17480656.0,19-Nov-2008 (05:15:26.000000),Geurtie,,False,,6568,,True,"  COVID19 has been around in China for almost a year now. I know winter is almost here for the Northern hemisphere, but t…"
25,2020-11-02 15:22:22,FR,France,171916799.0,28-Jul-2010 (13:48:59.000000),PacTheDUC,,False,,607,,True,"  EU coronavirus crisis right now is way, way worse than US. Helps explain those France, Germany (and UK) lockdowns.   Here’s…"
40,2020-11-02 16:33:33,FR,France,1.3213797054765793e+18,28-Oct-2020 (09:15:06.000000),Ladresse_Caen,,False,,0,,False,- INFORMATION COVID-19 - 
41,2020-11-02 15:22:22,FR,France,171916799.0,28-Jul-2010 (13:48:59.000000),PacTheDUC,,False,,607,,True,"  EU coronavirus crisis right now is way, way worse than US. Helps explain those France, Germany (and UK) lockdowns.   Here’s…"
44,2020-11-02 15:23:17,FR,France,171916799.0,28-Jul-2010 (13:48:59.000000),PacTheDUC,,False,,607,,False,Half of Slovakia's population tested for coronavirus in one day | Slovakia | The Guardian 
73,2020-11-02 16:21:13,FR,France,1.0543860684920504e+18,22-Oct-2018 (14:56:43.000000),FranklinCarapa1,,False,,850,,True,  Eighth grader in Franklin County dies from COVID-19 | News Headlines |  
103,2020-11-02 15:36:50,FR,France,1.27317374949222e+18,17-Jun-2020 (08:41:18.000000),VeilleCyber3,,False,,773,,False,  School Has Lost Its Connection. Both Students and Teachers Are Feeling It #edtech #edtechchat #edchat #covid19 #online #education  #CyberSecurity
108,2020-11-02 15:36:50,FR,France,1.27317374949222e+18,17-Jun-2020 (08:41:18.000000),VeilleCyber3,,False,,773,,False,  School Has Lost Its Connection. Both Students and Teachers Are Feeling It #edtech #edtechchat #edchat #covid19 #online #education  #CyberSecurity
135,2020-11-02 15:09:00,FR,France,364995670.0,30-Aug-2011 (17:55:11.000000),LdaPanam,,False,,283,,True,"  Singapore has reached 3 days with no new domestic cases of coronavirus, a first since COVID-19 began spreading in February"
141,2020-11-02 16:20:13,FR,France,1.293842260866605e+18,13-Aug-2020 (09:30:52.000000),FLEURdeLILAS3,,False,,59,,False,👍
148,2020-11-02 16:21:25,FR,France,17234691.0,07-Nov-2008 (17:25:31.000000),jyves,,False,,75,,False,Some Americans are ready to snap. Just like that i am afraid
174,2020-11-02 16:18:02,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  Prince William reveals he contracted coronavirus in April, having been informed by test and trace over the weekend."
175,2020-11-02 16:29:19,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  #UPDATE The Portuguese government will declare a health emergency enabling stricter curbs to fight a resurgent #coronavirus, Prime…"
178,2020-11-02 16:29:19,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  #UPDATE The Portuguese government will declare a health emergency enabling stricter curbs to fight a resurgent #coronavirus, Prime…"
180,2020-11-02 16:18:02,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  Prince William reveals he contracted coronavirus in April, having been informed by test and trace over the weekend."
193,2020-11-02 16:18:02,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  Prince William reveals he contracted coronavirus in April, having been informed by test and trace over the weekend."
203,2020-11-02 16:29:19,FR,France,310823490.0,04-Jun-2011 (12:14:20.000000),pirateirwin,,False,,4614,,True,"  #UPDATE The Portuguese government will declare a health emergency enabling stricter curbs to fight a resurgent #coronavirus, Prime…"
264,2020-11-02 16:25:39,FR,France,83148550.0,17-Oct-2009 (14:56:52.000000),WandrilleV,,False,,286,,True,  Syria. Almost a decade of war and decades of persecutions.  No end in sight.
281,2020-11-02 15:20:51,FR,France,1104083604.0,19-Jan-2013 (16:31:26.000000),valouni,,False,,119,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
288,2020-11-02 16:25:39,FR,France,83148550.0,17-Oct-2009 (14:56:52.000000),WandrilleV,,False,,286,,True,  Syria. Almost a decade of war and decades of persecutions.  No end in sight.
309,2020-11-02 16:31:19,FR,France,329595338.0,05-Jul-2011 (10:12:54.000000),RPrebost,,False,,345,,False,"The latest Romain PREBOST, le Journal!  Thanks to  #covid #cpva"
343,2020-11-02 15:23:21,FR,France,90435017.0,16-Nov-2009 (17:05:46.000000),OECDinnovation,,False,,29135,,True,"  ✈️ The #COVID19 crisis has had a significant impact on the aviation industry, with commercial #flights 40% below pre-crisis level…"
358,2020-11-02 16:10:22,FR,France,51088246.0,26-Jun-2009 (14:58:36.000000),shackled2013,,False,,129,,False,Has  admitted aerosol transmission is real
457,2020-11-02 15:29:38,FR,France,464502436.0,15-Jan-2012 (09:11:06.000000),tetunicois,,False,,3103,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
472,2020-11-02 15:29:38,FR,France,464502436.0,15-Jan-2012 (09:11:06.000000),tetunicois,,False,,3103,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
489,2020-11-02 15:29:38,FR,France,464502436.0,15-Jan-2012 (09:11:06.000000),tetunicois,,False,,3103,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
495,2020-11-02 15:12:21,FR,France,405012899.0,04-Nov-2011 (18:38:21.000000),NadaaMrj,,False,,423,,False,PTDRRRRRRR
513,2020-11-02 15:12:40,FR,France,1.314574480610652e+18,09-Oct-2020 (14:32:50.000000),j_germaneau,,False,,6,,True,  👇 #COVID19 - SUPPORT FOR OUR MEMBERS 👇  Sacem keeps standing for its members through this #crisis. New support measures will be…
521,2020-11-02 15:25:39,FR,France,1.2153077619338568e+18,09-Jan-2020 (16:23:30.000000),WGinFrance,,False,,299,,True,  Two very interesting sessions this afternoon with  for #WalesClimateWeek. Great to hear about how Wales is…
527,2020-11-02 15:25:29,FR,France,1.2301213689199575e+18,19-Feb-2020 (13:26:14.000000),bagboylion,,False,,41,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
537,2020-11-02 15:56:54,FR,France,3639301.0,06-Apr-2007 (17:24:40.000000),pegobry,,True,,20440,,True,  Two more Israelis were vaccinated with Israel's #coronavirus vaccine today.   Report by:    | #StartupNatio…
544,2020-11-02 15:33:39,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,False,       🙈🙉🙊      SOS from #Nice06    
545,2020-11-02 15:28:46,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,True,  #kids #kidnapped from parents in #Nizza #France with no #state explanation  #Bonhomme doesn't give explanation 
546,2020-11-02 15:56:54,FR,France,3639301.0,06-Apr-2007 (17:24:40.000000),pegobry,,True,,20440,,True,  Two more Israelis were vaccinated with Israel's #coronavirus vaccine today.   Report by:    | #StartupNatio…
549,2020-11-02 15:33:39,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,False,       🙈🙉🙊      SOS from #Nice06    
550,2020-11-02 15:26:14,FR,France,540209600.0,29-Mar-2012 (19:13:14.000000),BrantCommunity,,False,,3543,,True,  Have you been tested for COVID-19? Looking to access your results? View your test results by visiting Ontario’s COVID-…
551,2020-11-02 15:28:46,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,True,  #kids #kidnapped from parents in #Nizza #France with no #state explanation  #Bonhomme doesn't give explanation 
562,2020-11-02 15:49:07,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  1 of 6 Good morning  I'm very happy to share with you that my baby girl is breathing on her own for 3 days now. She's got…
563,2020-11-02 15:49:07,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  1 of 6 Good morning  I'm very happy to share with you that my baby girl is breathing on her own for 3 days now. She's got…
564,2020-11-02 15:53:20,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,"  This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…"
570,2020-11-02 15:53:20,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,"  This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…"
573,2020-11-02 15:33:39,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,False,       🙈🙉🙊      SOS from #Nice06    
584,2020-11-02 15:52:17,FR,France,330218925.0,06-Jul-2011 (08:54:54.000000),BlancheSabb,,False,,1257,,False, 😄
594,2020-11-02 15:28:46,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,True,  #kids #kidnapped from parents in #Nizza #France with no #state explanation  #Bonhomme doesn't give explanation 
597,2020-11-02 15:33:39,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,False,       🙈🙉🙊      SOS from #Nice06    
598,2020-11-02 15:50:15,FR,France,375121515.0,17-Sep-2011 (14:57:05.000000),AfwaMcCoy,,False,,1114,,True,  Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…
599,2020-11-02 15:28:46,FR,France,1.250046168001917e+18,14-Apr-2020 (13:00:15.000000),BDesilence,,False,,421,,True,  #kids #kidnapped from parents in #Nizza #France with no #state explanation  #Bonhomme doesn't give explanation 
610,2020-11-02 15:50:54,FR,France,2290595483.0,18-Jan-2014 (23:03:40.000000),sbyroute,,False,,115,,True,  WATCH LIVE: Prime Minister  makes a statement on coronavirus in the  (2 November 2020) htt…
623,2020-11-02 15:10:23,FR,France,19245752.0,20-Jan-2009 (17:17:03.000000),jamesinparis,,False,,2259,,False,"You’re not just an “imperfect follower of Christ”, you’re a biased bigoted idiot looking to throw shit at a democratic opponent just for not having the class of your grab-‘me’ by-the pussy president"
628,2020-11-02 15:48:06,FR,France,622763862.0,30-Jun-2012 (09:50:30.000000),Ofer_Ohayon,,False,,1089,,True,"  For all of my American followers.   This morning at the Wailing Wall, the Chief Rabbi's of Israel prayed for and blessed Pr…"
641,2020-11-02 15:28:30,FR,France,367047498.0,03-Sep-2011 (08:43:13.000000),libertaire1789,,False,,644,,True,  Erdoğan more dangerous for world than COVID-19 – erstwhile close ally of Erdoğan 
649,2020-11-02 15:54:18,FR,France,8.178354704659292e+17,07-Jan-2017 (20:49:05.000000),MakuPSG,,False,,1790,,True,  BREAKING  Eleven Ajax players test positive for coronavirus before Champions League game against FC Midtjylland  
662,2020-11-02 15:26:38,FR,France,221311736.0,30-Nov-2010 (09:28:06.000000),tryingalways,,False,,513,,False, That sitting woman should wear her mask properly. She's in a very risky situation. No need to die on the job.
664,2020-11-02 15:26:38,FR,France,221311736.0,30-Nov-2010 (09:28:06.000000),tryingalways,,False,,513,,False, That sitting woman should wear her mask properly. She's in a very risky situation. No need to die on the job.
667,2020-11-02 15:26:38,FR,France,221311736.0,30-Nov-2010 (09:28:06.000000),tryingalways,,False,,513,,False, That sitting woman should wear her mask properly. She's in a very risky situation. No need to die on the job.
717,2020-11-02 16:03:16,FR,France,1.3086891576114913e+18,23-Sep-2020 (08:46:47.000000),Greg03616361,,False,,85,,False,#COVID   
742,2020-11-02 16:02:05,FR,France,25390350.0,19-Mar-2009 (21:32:28.000000),OECD,,True,,642220,,False,"ICYMI: Last week, Ministers from around the world discussed measures to strengthen international co-operation and ‘build back better’ from the #COVID19 crisis.  See the full #OECDministerial Statement ➡️  "
756,2020-11-02 15:24:36,FR,France,1.2475090512835174e+18,07-Apr-2020 (12:58:38.000000),Az__Officiel,,False,,2131,,False,#JusticeForJohnnyDepp #COVID19 #Election2020 #hommageSamuelPaty   At 18:15 pm i'm testing a telephone #wtfock CB format. Please watch ans suscribe video 👍💯  
758,2020-11-02 16:15:54,FR,France,1.2475090512835174e+18,07-Apr-2020 (12:58:38.000000),Az__Officiel,,False,,2131,,False,#JusticeForJohnnyDepp #COVID19 #Election2020 #hommageSamuelPaty #MaskUp #Livestream #2ndLockdown  At 18:15 pm i'm testing a telephone #wtfock CB format. Please watch ans suscribe video 👍💯   
759,2020-11-02 15:24:36,FR,France,1.2475090512835174e+18,07-Apr-2020 (12:58:38.000000),Az__Officiel,,False,,2138,,False,#JusticeForJohnnyDepp #COVID19 #Election2020 #hommageSamuelPaty   At 18:15 pm i'm testing a telephone #wtfock CB format. Please watch ans suscribe video 👍💯  
760,2020-11-02 16:15:54,FR,France,1.2475090512835174e+18,07-Apr-2020 (12:58:38.000000),Az__Officiel,,False,,2138,,False,#JusticeForJohnnyDepp #COVID19 #Election2020 #hommageSamuelPaty #MaskUp #Livestream #2ndLockdown  At 18:15 pm i'm testing a telephone #wtfock CB format. Please watch ans suscribe video 👍💯   
788,2020-11-02 16:06:21,FR,France,477719882.0,29-Jan-2012 (13:59:05.000000),jilliebinfrance,,False,,4402,,True,  I am a ward sister in a 1600 bedder.. All our beds are free now...  
856,2020-11-02 16:35:02,FR,France,340864828.0,23-Jul-2011 (12:03:44.000000),VNiquet,,False,,4910,,True,  BREAKING: #IPAC demands 🇹🇼 Taiwan's participation in the upcoming World Health Assembly and other WHO activities.  As the i…
862,2020-11-02 15:57:51,FR,France,2613326449.0,09-Jul-2014 (10:14:33.000000),cIeverhes,,False,,1108,,False,Mais wtf
870,2020-11-02 15:45:30,FR,France,6269582.0,23-May-2007 (19:24:53.000000),laslavia,,False,,597,,False,Painting my fear in #pink to bear it... #alycastre the bloodthirsty #monster who used to destroy the crops and devour the inhabitants of #porquerolles My allegory of #covid_19 #COVID #workonpaper #drawing #mood #art #contemporaryart #figurativeart  #pinkpower #soyezprudents 3 min 
880,2020-11-02 16:36:57,FR,France,1361410302.0,18-Apr-2013 (09:02:36.000000),bububuhler,,False,,1224,,False,UGH.
884,2020-11-02 16:36:20,FR,France,2365378849.0,28-Feb-2014 (09:53:47.000000),YvesPDB,,False,,27057,,False,"Europe struggling with 2nd surge of COVID-19 case, and it may be worse than the 1st - ABC News "
922,2020-11-02 15:55:55,FR,France,432758267.0,09-Dec-2011 (19:03:11.000000),MarieBurnier,,False,,8278,,False,Via  😷
924,2020-11-02 15:14:11,FR,France,432758267.0,09-Dec-2011 (19:03:11.000000),MarieBurnier,,False,,8278,,False,Lockdown: PM warns of Covid-19 deaths 'twice as bad' as spring 
925,2020-11-02 15:14:11,FR,France,432758267.0,09-Dec-2011 (19:03:11.000000),MarieBurnier,,False,,8278,,False,Lockdown: PM warns of Covid-19 deaths 'twice as bad' as spring 
932,2020-11-02 15:55:55,FR,France,432758267.0,09-Dec-2011 (19:03:11.000000),MarieBurnier,,False,,8278,,False,Via  😷
950,2020-11-02 15:44:03,FR,France,2515022344.0,28-Apr-2014 (15:58:08.000000),DjokL,,False,,129,,True,"  Paris R1: Jan-Lennard Struff (GER) routines Nikoloz Basilashvili (GEO) 6-4, 6-2  since tennis returned from the coronavirus…"
951,2020-11-02 15:44:17,FR,France,1.3164780776277071e+18,14-Oct-2020 (20:37:25.000000),HeraAfrica,,False,,88,,False," thank you for sharing COVID-19 data, we unfortunately cannot access your daily reports between 20th October to 23rd October; is it possible to have them with the subnational details ? Thank you!"
960,2020-11-02 15:43:14,FR,France,43301934.0,29-May-2009 (09:22:48.000000),petimiti,,False,,15367,,True,"  At least 232,158 people in the US have died of coronavirus. "
973,2020-11-02 15:44:17,FR,France,80265043.0,06-Oct-2009 (09:58:33.000000),y6r3k,,False,,53,,True,"  Bad BBC, bad! You publish this unverified 💩and then one has to spend three days fending off journalists' questions abou…"
990,2020-11-02 16:37:06,FR,France,74152721.0,14-Sep-2009 (13:13:23.000000),ChrisSauvaget,,False,,737,,False,Fast. Powerful. Scalable. Three reasons high-performance computing is well-suited to take on the search for a COVID-19 treatment. Get the details from  #HPC #healthcare  
1014,2020-11-02 15:23:17,FR,France,171916799.0,28-Jul-2010 (13:48:59.000000),PacTheDUC,,False,,607,,False,Half of Slovakia's population tested for coronavirus in one day | Slovakia | The Guardian 
1017,2020-11-02 15:50:16,FR,France,339878225.0,21-Jul-2011 (20:13:34.000000),animalculum,,False,,4386,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
1018,2020-11-02 14:57:59,FR,France,339878225.0,21-Jul-2011 (20:13:34.000000),animalculum,,False,,4386,,True,  Voting in-person is safe.  --&gt; Wear a mask  --&gt; Wash hands before/after  --&gt; Stay distanced  --&gt; Dress for extended time out…
1022,2020-11-02 15:50:16,FR,France,339878225.0,21-Jul-2011 (20:13:34.000000),animalculum,,False,,4386,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
1027,2020-11-02 14:57:59,FR,France,339878225.0,21-Jul-2011 (20:13:34.000000),animalculum,,False,,4386,,True,  Voting in-person is safe.  --&gt; Wear a mask  --&gt; Wash hands before/after  --&gt; Stay distanced  --&gt; Dress for extended time out…
1038,2020-11-02 15:01:55,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,"#COVID19: A Territorial Approach to the #SDGs as a framework for long-term recovery strategies in #cities and #regions  ➡️Join our Roundtable 🗓️Mon &amp; Tue, 16-17 Nov 2020, 12:00 – 15:00 CET  // register 👉  // agenda 📙   🏷️ "
1040,2020-11-02 15:04:45,FR,France,38840769.0,09-May-2009 (11:53:45.000000),Thunderbirds3,,False,,446,,True,  Panic buying at supermarkets as shoppers snap up loo roll before lockdown  
1050,2020-11-02 14:56:52,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,True,"  ✈️ The #COVID19 crisis has had a significant impact on the aviation industry, with commercial #flights 40% below pre-crisis level…"
1052,2020-11-02 15:01:55,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,"#COVID19: A Territorial Approach to the #SDGs as a framework for long-term recovery strategies in #cities and #regions  ➡️Join our Roundtable 🗓️Mon &amp; Tue, 16-17 Nov 2020, 12:00 – 15:00 CET  // register 👉  // agenda 📙   🏷️ "
1055,2020-11-02 15:39:50,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,➡️ Forum on the #Governance of #Infrastructure:  🗨️Infrastructure investment #recovery plans need to address the specificities of each territory.  For this #subnational governments need to work closely together.  📙  🏷️ #OECDInfra #COVID19 
1056,2020-11-02 14:56:52,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,True,"  ✈️ The #COVID19 crisis has had a significant impact on the aviation industry, with commercial #flights 40% below pre-crisis level…"
1066,2020-11-02 15:02:02,FR,France,8.355616993443308e+17,25-Feb-2017 (18:46:47.000000),carlbogart54,,False,,1361,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
1067,2020-11-02 15:39:50,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,➡️ Forum on the #Governance of #Infrastructure:  🗨️Infrastructure investment #recovery plans need to address the specificities of each territory.  For this #subnational governments need to work closely together.  📙  🏷️ #OECDInfra #COVID19 
1068,2020-11-02 15:01:55,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,"#COVID19: A Territorial Approach to the #SDGs as a framework for long-term recovery strategies in #cities and #regions  ➡️Join our Roundtable 🗓️Mon &amp; Tue, 16-17 Nov 2020, 12:00 – 15:00 CET  // register 👉  // agenda 📙   🏷️ "
1077,2020-11-02 15:01:48,FR,France,192609510.0,19-Sep-2010 (17:09:52.000000),arnaud1369,,False,,220,,True,"  . pandemic policies are under fire, but in one area a big Trumpian bet is still coming up a winner. Th…"
1085,2020-11-02 15:01:48,FR,France,192609510.0,19-Sep-2010 (17:09:52.000000),arnaud1369,,False,,220,,True,"  . pandemic policies are under fire, but in one area a big Trumpian bet is still coming up a winner. Th…"
1092,2020-11-02 14:56:52,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,True,"  ✈️ The #COVID19 crisis has had a significant impact on the aviation industry, with commercial #flights 40% below pre-crisis level…"
1094,2020-11-02 15:39:50,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,False,➡️ Forum on the #Governance of #Infrastructure:  🗨️Infrastructure investment #recovery plans need to address the specificities of each territory.  For this #subnational governments need to work closely together.  📙  🏷️ #OECDInfra #COVID19 
1102,2020-11-02 15:03:30,FR,France,1.305808474073424e+18,15-Sep-2020 (09:59:46.000000),MBialgues,,False,,5,,True,  The power of #NoCode &amp; #lowcode tools.  and  decided to tackle two of the major problems that emerged wi…
1129,2020-11-02 14:57:47,FR,France,856819147.0,01-Oct-2012 (18:28:22.000000),pmchgl,,False,,1087,,False,Easier to sack Fauci than the virus
1161,2020-11-02 14:57:47,FR,France,856819147.0,01-Oct-2012 (18:28:22.000000),pmchgl,,False,,1087,,False,Easier to sack Fauci than the virus
1168,2020-11-02 14:57:47,FR,France,856819147.0,01-Oct-2012 (18:28:22.000000),pmchgl,,False,,1087,,False,Easier to sack Fauci than the virus
1182,2020-11-02 18:05:40,FR,France,79569980.0,03-Oct-2009 (21:30:55.000000),mirakamdar,,True,,11402,,False,"“In retrospect, the warning signs could be seen as early as July, when cases in Europe started ticking up again after the relaxation of spring lockdowns.” "
1185,2020-11-02 17:13:18,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,    Funny how the former director of national intelligence has no intelligence. You really think…
1186,2020-11-02 17:16:36,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  It is unbelievable that this guy was the Acting Director of National Intelligence and Ambassador to Germany. 
1205,2020-11-02 17:03:18,FR,France,1551287564.0,27-Jun-2013 (18:55:20.000000),ChloeGwaDiniina,,False,,1186,,False,Carrement mdr
1216,2020-11-02 17:18:20,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  4) Further confirmation of the 4th mobile morgue. Hope we don’t have a 5th anytime soon. 
1237,2020-11-02 17:16:36,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  It is unbelievable that this guy was the Acting Director of National Intelligence and Ambassador to Germany. 
1245,2020-11-02 17:13:18,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,    Funny how the former director of national intelligence has no intelligence. You really think…
1251,2020-11-02 17:16:36,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  It is unbelievable that this guy was the Acting Director of National Intelligence and Ambassador to Germany. 
1254,2020-11-02 17:18:20,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  4) Further confirmation of the 4th mobile morgue. Hope we don’t have a 5th anytime soon. 
1257,2020-11-02 17:22:19,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  I'm sure this pro did a great job as DNI head (pic is from November 2019)
1259,2020-11-02 17:13:18,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,    Funny how the former director of national intelligence has no intelligence. You really think…
1264,2020-11-02 17:22:19,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  I'm sure this pro did a great job as DNI head (pic is from November 2019)
1288,2020-11-02 16:58:46,FR,France,3067708419.0,03-Mar-2015 (12:51:07.000000),mgaetani73,,False,,82,,True,  New #research 🔬 published in #Chaos #AIP journal. Modeling the second wave of #COVID19 infections in #France and #Italy vi…
1299,2020-11-02 16:48:31,FR,France,423285153.0,28-Nov-2011 (09:31:22.000000),OECD_local,,none,,7773,,True,  #Cities are using innovations to build resilience post #COVID19.  Seoul🇰🇷 is pioneering green mobility such as driverless cars an…
1302,2020-11-02 16:48:32,FR,France,1969051933.0,18-Oct-2013 (14:51:14.000000),Ultrascan419,,False,,367,,False,"Beware: $1200 Stimulus Check Text Messages Are A Scam: If you receive one of these, please don't on the link, the text is a scam trying to cheat you out of money. Since March, when the coronavirus pandemic ...  #419fraud #fraud"
1332,2020-11-02 17:27:28,FR,France,1.308119648316031e+18,21-Sep-2020 (19:03:32.000000),ViscaBa35393409,,False,,498,,True,  ARRETEZ DE VOUS FAIRE TESTER  ILS SONT FAUT  
1336,2020-11-02 18:00:09,FR,France,2694469284.0,31-Jul-2014 (02:23:41.000000),GregoryGuillez,,False,,80,,True,  New York 🌇🗽🚖 Announces New Testing Requirements For - AMERICAN 🇺🇸 Visitors  #NewYork #NYC #Travel…
1361,2020-11-02 17:54:20,FR,France,272929428.0,27-Mar-2011 (13:25:32.000000),wynnewman,,False,,480,,True,  Can't believe what I've heard so far from the PM  - no apology - no regrets - no accepting responsibility  Yet his 40-da…
1371,2020-11-02 17:17:37,FR,France,1267867782.0,14-Mar-2013 (20:07:24.000000),Vilain_Pabo,,False,,5063,,True,"  An insane amount of disinformation!  Videos manipulated to make it seem Biden said he was in the wrong state, Eric Trump falsely…"
1378,2020-11-02 16:48:12,FR,France,1.196707776359211e+18,19-Nov-2019 (08:32:34.000000),DaviFaranda,,False,,243,,False,New #research 🔬 published in #Chaos #AIP journal. Modeling the second wave of #COVID19 infections in #France and #Italy via a stochastic model provides inside on the role of #SuperSpreader in the #virus dynamics.      
1382,2020-11-02 17:17:37,FR,France,1267867782.0,14-Mar-2013 (20:07:24.000000),Vilain_Pabo,,False,,5063,,True,"  An insane amount of disinformation!  Videos manipulated to make it seem Biden said he was in the wrong state, Eric Trump falsely…"
1424,2020-11-02 17:04:11,FR,France,8.355616993443308e+17,25-Feb-2017 (18:46:47.000000),carlbogart54,,False,,1361,,True,"  ALL PATRIOTS.!!...Beware.! ...Studies from the past century reveal that masks grow bacteria, which causes Pneumonia.! So,…"
1428,2020-11-02 17:13:43,FR,France,1.3222521865549455e+18,30-Oct-2020 (19:09:37.000000),JasminaPiano,,False,,35,,False,The need for music has never been grater ! ☀️ #classicalbuzz #ClassicalMusic #podcast #BernhardKerres
1434,2020-11-02 17:17:37,FR,France,1267867782.0,14-Mar-2013 (20:07:24.000000),Vilain_Pabo,,False,,5063,,True,"  An insane amount of disinformation!  Videos manipulated to make it seem Biden said he was in the wrong state, Eric Trump falsely…"
1435,2020-11-02 18:06:55,FR,France,1.2782666390715433e+18,01-Jul-2020 (09:58:22.000000),FranckGermain20,,False,,1357,,False,All players having the same view👇 1) Pandemic has spurred contactless payments 2) Privacy + security + convenience will drive the replacement of traditional cards with biometrics 💳  Growth in biometric cards in banking and retail spurred by COVID-19 
1450,2020-11-02 17:52:47,FR,France,252549892.0,15-Feb-2011 (12:29:40.000000),jocekisse,,False,,1359,,True,"  If Dr. Fauci is telling the truth, Joe Biden is lying about President Trump's response to the coronavirus. "
1492,2020-11-02 18:25:19,FR,France,1261968912.0,12-Mar-2013 (13:28:58.000000),LTregoures,,False,,4611,,True,  The faithful Serbs drinking from the COVID fountain.
1493,2020-11-02 17:18:20,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  4) Further confirmation of the 4th mobile morgue. Hope we don’t have a 5th anytime soon. 
1496,2020-11-02 17:13:18,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,    Funny how the former director of national intelligence has no intelligence. You really think…
1497,2020-11-02 17:16:36,FR,France,36649224.0,30-Apr-2009 (12:24:09.000000),isa97,,False,,2397,,True,  It is unbelievable that this guy was the Acting Director of National Intelligence and Ambassador to Germany. 
