tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-28 23:48:22+00:00,RU,Russian Federation,,,Phil Ammann 🙄⌨️🙄,,False,24237,3584,5003,,": Miami-Dade opens new #COVID19 test sites, distributes 152K take-home tests as virus again spreads

Reporting by 



#FlaPol "
2021-12-28 13:44:35+00:00,RU,Russian Federation,,,Andrew Bustamante,,False,212,888,19,,"Why are we panicking again?
""Researchers who published a study in early December on OSF Preprints found that the omicron variant and the common cold have similar genetic makeups, making the symptoms also similar."" #WakeUp #COVID19
"
2021-12-26 06:00:31+00:00,RU,Russian Federation,,,Ivan V🇺🇸,,False,2531,315,681,,"Oh great….so nice these ‘Scientists’ could  catch up with what the guy who shovels our snow has been saying for 2 years…

Spoiler….I shovel our fuckin snow. 

#COVID19 #Omicron "
2021-12-28 21:33:06+00:00,RU,Russian Federation,,,Phil Ammann 🙄⌨️🙄,,False,24237,3584,5003,,": . asks  to address omicron surge, end #COVID19 'burden'

Reporting by 



#FlaPol "
2021-12-30 16:29:22+00:00,RU,Russian Federation,,,Serge Lis Eliseev,,False,3252,401,1395,,"""How is life, Bro?""
It's title of my #nft available for bidding #nftcollectors  on 

 
Reserve price
0.333 ETH


Grichka   #Bogdanoff , one of the star twins of the 1980s, died of Covid-19
#NEWS #COVID19 
 "
2021-12-31 14:35:27+00:00,RU,Russian Federation,,,TRUTH!! 1Cor 13,,False,8878,94,301,,"When will we realize that no one, the CDC, Government etc actually knows what is going on. Everyday they change something that they originally established. I am so glad I trust in God and not man, that is who I get my directions from. #COVID19 #Bible"
2021-12-30 11:31:22+00:00,RU,Russian Federation,,,Jeremy Nicholl,,False,5699,2711,744,,"Just found our marriage docs from the British Embassy. For the marriage that didn’t happen because Lola was killed by covid in July. Fuck 2021, I hate this year more than anything I’ve ever hated. #COVID19 #Covid #coronavirus #pandemic"
2021-12-24 18:43:16+00:00,RU,Russian Federation,,,Le Fleur,,False,46702,208,1500,,How many boosters per year before we are allowed to have questions ? #COVID19 #vaccine 
2021-12-31 09:03:27+00:00,RU,Russian Federation,,,Phil Ammann 🙄⌨️🙄,,False,24237,3584,5003,,": South Florida retailers face new realities in the post- #COVID19 world

Reporting by 



#FlaPol "
2021-12-29 14:18:03+00:00,RU,Russian Federation,,,Anita Reilly McGee,,False,11703,1676,1996,,The economy bounces back. The dead don't. #CDC #COVID19 
2021-12-30 21:16:00+00:00,RU,Russian Federation,,,Weekly Challenger,,False,98,1019,289,,The #Nursing shortage is a serious problem and only getting worse as #COVID19 rages on.  and its partners are addressing the issue head-on 
2021-12-24 00:28:27+00:00,RU,Russian Federation,,,Charles R. Gallagher,,False,42699,3226,4995,,"26,811 new #COVID19 cases, the second-highest daily number of the pandemic. #MaskUp #GetVaccinated #GetVaccinatedNow"
2021-12-30 00:06:51+00:00,RU,Russian Federation,,,Beat Back Biden,,False,162,30,109,,"The #CDC has changed the Omicron strain from 70% to 25% of current cases. They can't have a high case number with mild symptoms, and jammed hospitals at the same time. So change the scenario and encourage panic. #COVID19 #OmicronVariant #CDCFAIL"
2021-12-28 17:58:36+00:00,RU,Russian Federation,,,Phil Ammann 🙄⌨️🙄,,False,24237,3584,5003,,": Hillsborough County reports 5K new #COVID19 cases, the highest caseload since September surge

Reporting by 

 

#FlaPol "
2021-12-24 11:47:01+00:00,RU,Russian Federation,,,Flyopedia,,False,3871,2532,2384,,"Travel the hidden gems of California and also get amazing offers on your US to India travels and last-minute flight tickets to India with #Flyopedia. Book Now!

#california #covid19 #Internationalflights #destinations #travel #USAairports #traveldealsonline "
