tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 20:56:25+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Premium Face Mask by dalDesignNZ 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask 

 via "
2021-12-29 04:49:36+00:00,NZ,New Zealand,,,"Marc Daalder 😷 Wear a Mask, Scan QRs, Vaccinate",,True,9436,7819,1363,,"An Omicron case was active in the Auckland CBD on December 26 and 27, the Ministry of Health says. I wrote last week about the threat Omicron poses to New Zealand:  #nzpol #Covid19 #Covid19nz #omicron"
2021-12-24 01:50:12+00:00,NZ,New Zealand,,,Geoff Wilson,,False,10059,555,458,,"5,380,000 #COVID19 deaths worldwide.

811,000 deaths in the USA alone.

15% of all deaths are in the USA.

USA only has 4.25% of global population.

But hey, #MerryChristmas to my home country!"
2021-12-30 20:51:16+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Baby due in May Premium Face Mask 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask 

 via "
2021-12-29 08:36:49+00:00,NZ,New Zealand,,,Matthew Hooton,,False,5188,2030,506,,Did this  guy do any MIQ time? Or did his powerful connections in New Zealand mean he was able to self isolate on arrival? And how come NZ citizens still don’t have an automatic right or return? #COVID19 #covid19nz #Omicron 
2021-12-31 11:04:35+00:00,NZ,New Zealand,,,Helen Clark,,True,174532,225028,6451,,"As the sun sets on 2021, here’s to a better 2022 with greater global determination to end the #COVID19 pandemic, reduce poverty, inequalities &amp; marginalisation, take action on #climate &amp; biodiversity crises, &amp; bring raging conflicts destroying lives &amp; hopes to an end. #HNY2022 🎈 "
2021-12-23 21:07:13+00:00,NZ,New Zealand,,,New Zealand Malaysia Business Association Inc.,,False,39,33,48,,"Covid Virus killer technology under test in New Zealand



#NZMBA #StaceHammond #COVID19"
2021-12-30 20:59:01+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Happy 71st Birthday face mask by dalDesignNZ

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask #birthday 

  via "
2021-12-30 20:50:37+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Baby due in June Premium Face Mask

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask 

 via "
2021-12-30 03:00:33+00:00,NZ,New Zealand,,,Mariam Parwaiz,,False,3172,2789,1465,,"More info, tips, and resources available on our website: 

#PublicHealth #COVID19"
2021-12-25 04:29:06+00:00,NZ,New Zealand,,,Indian Weekender,,False,3149,1495,1001,,"As part of the Har Ghar Dastak campaign, a health care worker in Rajasthan's Barmer district took a ride on a camel to vaccinate a man.
#covid19 #vaccination #india #rajasthan "
2021-12-30 21:02:20+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Happy 91st birthday face mask by dalDesignNZ 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask #birthday 

 via "
2021-12-24 00:23:49+00:00,NZ,New Zealand,,,Paul Bomberger,,False,1038,938,980,,"Breaking:  Line's Freedom ship hit with #COVID19 outbreak, third South Florida cruise ship disrupted by virus in less than a week #OmicronVariant    
"
2021-12-27 06:03:14+00:00,NZ,New Zealand,,,61nails,,False,1851,8,70,,"Honestly? Vaxxed,or not? Why is it so hard to just wear a #mask?  Don't take your anger out on others trying to make a living. #Covid19 #Delta outbreak: #Mitre10 employee praised for trespassing anti-masker shopper 
 "
2021-12-27 06:21:07+00:00,NZ,New Zealand,,,Craig Norenbergs,,True,143426,32036,25568,,Really good to see… I went to two major shopping malls in Auckland for #BoxingDay sales and every kiwi was wearing a mask and checking in for #COVID19 before entering stores. Brilliant. 👏🏻👏🏻
2021-12-31 04:59:05+00:00,NZ,New Zealand,,,Edward Lyons🟧,,False,2167,91,240,,"#Omicron science, encouraging news  via  #COVID19 "
2021-12-25 09:13:38+00:00,NZ,New Zealand,,,Brandon,,False,2863,700,1382,,"Don’t look up is an incredible and VERY confronting movie. 

The human race really does need to take a good long hard look at ourselves and what we’ve become.

  

#DontLookUp #LookUp #ClimateChange #COVID19 

"
2021-12-29 04:58:20+00:00,NZ,New Zealand,,,Matthew Tukaki,,False,10715,19930,16202,,The #Omicron variant is now in the #NewZealand Community. These are the locations of interest we know now: If you have been at any of these locations on the dates and times below it is imperative you get tested immediately. Full details:  #nz #covid19 
2021-12-30 20:58:17+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Happy 90th Birthday face mask by dalDesignNZ 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask #birthday 

 via "
2021-12-29 06:44:18+00:00,NZ,New Zealand,,,"Elizabeth A Steele, MD",,False,1991,174,219,,Of course the first Omicron community case in New Zealand went to a nightclub. #facepalm #COVID19 #NewZealand
2021-12-30 20:50:20+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Baby due in June Premium Face Mask 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask 

 via "
2021-12-29 16:10:01+00:00,NZ,New Zealand,,,Javin Pierce,,False,3350,102,609,,"This works, and has PCR-grade accuracy! The platform can be adjusted to keep up with the SAR-COV mutants and other threats as they emerge, cuts out all the waiting and sample shipping expense. Congrats Detect!!  #Covid19 #ICUNurse #Omicron "
2021-12-29 11:36:17+00:00,NZ,New Zealand,,,Helen Clark,,True,174532,225027,6451,,"Where are we in #pandemic; when might it end?  #COVID19 Incident Manager says ""we're not near the end of the pandemic right now"". So, if you can access vaccines, get vaccinated, &amp; protect yourself with masking/distancing.  Let 2022 be #vaccineequityyear! "
2021-12-30 00:37:23+00:00,NZ,New Zealand,,,Indian Weekender,,False,3149,1495,1001,,"The Ministry of Health has confirmed there is a second Omicron case who has been in the community - an Air New Zealand crew member who worked on a flight between Auckland and Sydney.

#Omicron #Newzealand #covid19 #iwk #indianweekender "
2021-12-29 03:08:38+00:00,NZ,New Zealand,,,Bradon French,,False,2683,575,486,,When I accidentally think about #COVID19 impacts on students returning to school in 4 weeks 
2021-12-30 21:01:54+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Happy 90th birthday face mask by dalDesignNZ 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask #birthday 

 via "
2021-12-28 00:30:34+00:00,NZ,New Zealand,,,Indian Weekender,,False,3149,1495,1001,,"There are 18 new community cases today in New Zealand - 13 are in Auckland, three in Waikato, one in Bay of Plenty and one in the Lakes.
There are 54 people in hospital including 8 in ICU or HDU.
#COVID19 #covidupdate #IWK "
2021-12-27 18:30:33+00:00,NZ,New Zealand,,,Indian Weekender,,False,3149,1495,1001,,"Mumbai has recorded 922+ fresh cases of COVID, the highest single-day spike in nearly seven months. On June 4, the city had logged 973 cases in a day.
.
.
#COVID19 #Mumbai #OmicronVirus "
2021-12-30 20:58:39+00:00,NZ,New Zealand,,,Debi Lewis,,False,505,919,2063,,"Happy 72nd Birthday face mask by dalDesignNZ 

15% off with code LASTSALE2021
ends today

#COVID19 #Omicron #facemask #birthday 

 via "
2021-12-29 21:16:14+00:00,NZ,New Zealand,,,beIN SPORTS NZ,,False,6,1657,74,,"🦠😱 Four more  stars test positive for #COVID19, just days out from the club's resumption in    "
2021-12-30 05:24:32+00:00,NZ,New Zealand,,,Matthew Hooton,,False,5188,2030,506,,"Should we close the border completely again, just for a week or two, to see what happens in NSW? #Omicron #COVID19 #COVID19nz"
